jnxBoxDescr.0                 (1.3.6.1.4.1.2636.3.1.2)       = Juniper MX960 Internet Backbone Router
jnxBoxSerialNo.0              (1.3.6.1.4.1.2636.3.1.3)       = JN112F522AFA
jnxContainersLevel.1          (1.3.6.1.4.1.2636.3.1.6.1.3)   = 0
jnxContainersLevel.2          (1.3.6.1.4.1.2636.3.1.6.1.3)   = 1
jnxContainersLevel.4          (1.3.6.1.4.1.2636.3.1.6.1.3)   = 1
jnxContainersLevel.7          (1.3.6.1.4.1.2636.3.1.6.1.3)   = 1
jnxContainersLevel.8          (1.3.6.1.4.1.2636.3.1.6.1.3)   = 2
jnxContainersLevel.9          (1.3.6.1.4.1.2636.3.1.6.1.3)   = 1
jnxContainersLevel.10         (1.3.6.1.4.1.2636.3.1.6.1.3)   = 1
jnxContainersLevel.12         (1.3.6.1.4.1.2636.3.1.6.1.3)   = 1
jnxContainersWithin.1         (1.3.6.1.4.1.2636.3.1.6.1.4)   = 0
jnxContainersWithin.2         (1.3.6.1.4.1.2636.3.1.6.1.4)   = 1
jnxContainersWithin.4         (1.3.6.1.4.1.2636.3.1.6.1.4)   = 1
jnxContainersWithin.7         (1.3.6.1.4.1.2636.3.1.6.1.4)   = 1
jnxContainersWithin.8         (1.3.6.1.4.1.2636.3.1.6.1.4)   = 7
jnxContainersWithin.9         (1.3.6.1.4.1.2636.3.1.6.1.4)   = 1
jnxContainersWithin.10        (1.3.6.1.4.1.2636.3.1.6.1.4)   = 1
jnxContainersWithin.12        (1.3.6.1.4.1.2636.3.1.6.1.4)   = 1
jnxContainersDescr.1          (1.3.6.1.4.1.2636.3.1.6.1.6)   = chassis frame
jnxContainersDescr.2          (1.3.6.1.4.1.2636.3.1.6.1.6)   = PEM slot
jnxContainersDescr.4          (1.3.6.1.4.1.2636.3.1.6.1.6)   = FAN slot
jnxContainersDescr.7          (1.3.6.1.4.1.2636.3.1.6.1.6)   = FPC slot
jnxContainersDescr.8          (1.3.6.1.4.1.2636.3.1.6.1.6)   = PIC slot
jnxContainersDescr.9          (1.3.6.1.4.1.2636.3.1.6.1.6)   = Routing Engine slot
jnxContainersDescr.10         (1.3.6.1.4.1.2636.3.1.6.1.6)   = FPM slot
jnxContainersDescr.12         (1.3.6.1.4.1.2636.3.1.6.1.6)   = CB slot
jnxContainersCount.1          (1.3.6.1.4.1.2636.3.1.6.1.7)   = 1
jnxContainersCount.2          (1.3.6.1.4.1.2636.3.1.6.1.7)   = 5
jnxContainersCount.4          (1.3.6.1.4.1.2636.3.1.6.1.7)   = 2
jnxContainersCount.7          (1.3.6.1.4.1.2636.3.1.6.1.7)   = 12
jnxContainersCount.8          (1.3.6.1.4.1.2636.3.1.6.1.7)   = 4
jnxContainersCount.9          (1.3.6.1.4.1.2636.3.1.6.1.7)   = 2
jnxContainersCount.10         (1.3.6.1.4.1.2636.3.1.6.1.7)   = 1
jnxContainersCount.12         (1.3.6.1.4.1.2636.3.1.6.1.7)   = 3
jnxContentsDescr.1.1.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = midplane
jnxContentsDescr.2.1.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PEM 0
jnxContentsDescr.2.2.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PEM 1
jnxContentsDescr.2.3.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PEM 2
jnxContentsDescr.2.4.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PEM 3
jnxContentsDescr.2.5.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PDM
jnxContentsDescr.4.1.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Top Fan Tray
jnxContentsDescr.4.1.1.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Top Tray Fan 1
jnxContentsDescr.4.1.2.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Top Tray Fan 2
jnxContentsDescr.4.1.3.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Top Tray Fan 3
jnxContentsDescr.4.1.4.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Top Tray Fan 4
jnxContentsDescr.4.1.5.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Top Tray Fan 5
jnxContentsDescr.4.1.6.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Top Tray Fan 6
jnxContentsDescr.4.2.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Bottom Fan Tray
jnxContentsDescr.4.2.1.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Bottom Tray Fan 1
jnxContentsDescr.4.2.2.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Bottom Tray Fan 2
jnxContentsDescr.4.2.3.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Bottom Tray Fan 3
jnxContentsDescr.4.2.4.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Bottom Tray Fan 4
jnxContentsDescr.4.2.5.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Bottom Tray Fan 5
jnxContentsDescr.4.2.6.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Bottom Tray Fan 6
jnxContentsDescr.7.1.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = FPC: DPCE 40x 1GE R @ 0/*/*
jnxContentsDescr.7.11.0.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = FPC: DPCE 4x 10GE R @ 10/*/*
jnxContentsDescr.7.12.0.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = FPC: DPCE 4x 10GE R @ 11/*/*
jnxContentsDescr.8.1.1.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 10x 1GE(LAN) @ 0/0/*
jnxContentsDescr.8.1.2.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 10x 1GE(LAN) @ 0/1/*
jnxContentsDescr.8.1.3.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 10x 1GE(LAN) @ 0/2/*
jnxContentsDescr.8.1.4.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 10x 1GE(LAN) @ 0/3/*
jnxContentsDescr.8.11.1.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 1x 10GE(LAN/WAN) @ 10/0/*
jnxContentsDescr.8.11.2.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 1x 10GE(LAN/WAN) @ 10/1/*
jnxContentsDescr.8.11.3.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 1x 10GE(LAN/WAN) @ 10/2/*
jnxContentsDescr.8.11.4.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 1x 10GE(LAN/WAN) @ 10/3/*
jnxContentsDescr.8.12.1.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 1x 10GE(LAN/WAN) @ 11/0/*
jnxContentsDescr.8.12.2.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 1x 10GE(LAN/WAN) @ 11/1/*
jnxContentsDescr.8.12.3.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 1x 10GE(LAN/WAN) @ 11/2/*
jnxContentsDescr.8.12.4.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = PIC: 1x 10GE(LAN/WAN) @ 11/3/*
jnxContentsDescr.9.1.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Routing Engine 0
jnxContentsDescr.9.2.0.0      (1.3.6.1.4.1.2636.3.1.8.1.6)   = Routing Engine 1
jnxContentsDescr.10.1.1.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = FPM Board
jnxContentsDescr.12.1.0.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = CB 0
jnxContentsDescr.12.2.0.0     (1.3.6.1.4.1.2636.3.1.8.1.6)   = CB 1
jnxContentsSerialNo.1.1.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TS4180
jnxContentsSerialNo.2.1.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = QCS12517091
jnxContentsSerialNo.2.2.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = QCS1250709U
jnxContentsSerialNo.2.3.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = QCS1302701W
jnxContentsSerialNo.2.4.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = QCS1248707R
jnxContentsSerialNo.2.5.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = QCS1251506Z
jnxContentsSerialNo.4.1.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7298
jnxContentsSerialNo.4.1.1.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7298
jnxContentsSerialNo.4.1.2.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7298
jnxContentsSerialNo.4.1.3.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7298
jnxContentsSerialNo.4.1.4.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7298
jnxContentsSerialNo.4.1.5.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7298
jnxContentsSerialNo.4.1.6.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7298
jnxContentsSerialNo.4.2.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7955
jnxContentsSerialNo.4.2.1.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7955
jnxContentsSerialNo.4.2.2.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7955
jnxContentsSerialNo.4.2.3.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7955
jnxContentsSerialNo.4.2.4.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7955
jnxContentsSerialNo.4.2.5.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7955
jnxContentsSerialNo.4.2.6.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N TP7955
jnxContentsSerialNo.7.1.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N WZ9624
jnxContentsSerialNo.7.11.0.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N ABBD1823
jnxContentsSerialNo.7.12.0.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N XC3084
jnxContentsSerialNo.8.1.1.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.1.2.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.1.3.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.1.4.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.11.1.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.11.2.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.11.3.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.11.4.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.12.1.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.12.2.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.12.3.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.8.12.4.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = BUILTIN
jnxContentsSerialNo.9.1.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = 9009019222
jnxContentsSerialNo.9.2.0.0   (1.3.6.1.4.1.2636.3.1.8.1.7)   = 9009021549
jnxContentsSerialNo.10.1.1.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N WX7726
jnxContentsSerialNo.12.1.0.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N XC9056
jnxContentsSerialNo.12.2.0.0  (1.3.6.1.4.1.2636.3.1.8.1.7)   = S/N XC8947
jnxContentsRevision.1.1.0.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 03
jnxContentsRevision.2.1.0.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = Rev 06
jnxContentsRevision.2.2.0.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = Rev 06
jnxContentsRevision.2.3.0.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = Rev 06
jnxContentsRevision.2.4.0.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = Rev 06
jnxContentsRevision.2.5.0.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = Rev 03
jnxContentsRevision.4.1.0.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.1.1.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.1.2.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.1.3.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.1.4.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.1.5.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.1.6.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.2.0.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.2.1.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.2.2.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.2.3.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
jnxContentsRevision.4.2.4.0   (1.3.6.1.4.1.2636.3.1.8.1.8)   = REV 05
