initializing servertechsnmp.pl ....
Fetching OutletID
Fetching OutletName
Fetching OutletStatus
Fetching Outletloadstatus
Fetching OutletLoadValue
ID,Name,Status,LoadStatus,LoadValue
AA1,FND-SI4G-1_PS1,on,normal,1.25
AA2,JUN-SSG350-1,on,normal,1.5
AA3,JUN-SSG350-3,on,normal,1.25
AA4,CYC-RR100102-1_PS1,on,normal,0.25
AA5,CYC-RR100102-2_PS1,on,normal,0.25
AA6,JUN-EX4200-1.1_PS1-A,on,normal,0.75
AA7,JUN-EX4200-1.1_PS2-A,on,normal,1.5
AA8,JUN-EX4200-1.2_PS1-A,on,normal,0.75
AB1,FND-SI4G-1_PS2,on,normal,0.75
AB2,TowerA_InfeedB_Outlet2,off,notOn,0
AB3,TowerA_InfeedB_Outlet3,off,notOn,0
AB4,CYC-RR100102-1_PS2,on,normal,0.25
AB5,CYC-RR100102-2_PS2,on,normal,0
AB6,JUN-EX4200-1.1_PS1-B,on,normal,0.5
AB7,JUN-EX4200-1.1_PS2-B,on,normal,1
AB8,JUN-EX4200-1.2_PS1-B,on,normal,0.75
BA1,JUN-EX4200-1.2_PS2-A,on,normal,0.75
BA2,JUN-EX4200-1.3_PS1-A,on,normal,0.5
BA3,JUN-EX4200-1.3_PS2-A,on,normal,0.5
BA4,TowerB_InfeedA_Outlet4,off,notOn,0
BA5,TowerB_InfeedA_Outlet5,off,notOn,0
BA6,TowerB_InfeedA_Outlet6,off,notOn,0
BA7,TowerB_InfeedA_Outlet7,off,notOn,0
BA8,TowerB_InfeedA_Outlet8,off,notOn,0
BB1,JUN-EX4200-1.2_PS2-B,on,normal,0.5
BB2,JUN-EX4200-1.3_PS1-B,on,normal,0.5
BB3,JUN-EX4200-1.3_PS2-B,on,normal,0.5
BB4,TowerB_InfeedB_Outlet4,off,notOn,0
BB5,TowerB_InfeedB_Outlet5,off,notOn,0
BB6,TowerB_InfeedB_Outlet6,off,notOn,0
BB7,TowerB_InfeedB_Outlet7,off,notOn,0
BB8,TowerB_InfeedB_Outlet8,off,notOn,0
